id,visit,room,value,timepoint
14,0,bedroom,6.0,53
14,0,bedroom,6.0,54
14,0,bedroom,2.75,55
14,0,bedroom,2.75,56
14,0,bedroom,2.75,57
14,0,bedroom,2.75,58
14,0,bedroom,6.0,59
14,0,bedroom,6.0,60
14,0,bedroom,2.75,61
14,0,bedroom,2.75,62
14,0,bedroom,2.75,63
14,0,bedroom,2.75,64
14,0,bedroom,2.75,65
14,0,bedroom,2.75,66
14,0,bedroom,2.75,67
14,0,bedroom,2.75,68
14,0,bedroom,2.75,69
14,0,bedroom,2.75,70
14,0,bedroom,2.75,71
14,0,bedroom,2.75,72
14,0,bedroom,6.0,73
14,0,bedroom,2.75,74
14,0,bedroom,2.75,75
14,0,bedroom,2.75,76
14,0,bedroom,6.0,77
14,0,bedroom,2.75,78
14,0,bedroom,2.75,79
14,0,bedroom,2.75,80
14,0,bedroom,2.75,81
14,0,bedroom,2.75,82
14,0,bedroom,6.0,83
14,0,bedroom,2.75,84
14,0,bedroom,2.75,85
14,0,bedroom,2.75,86
14,0,bedroom,2.75,87
14,0,bedroom,6.0,88
14,0,bedroom,2.75,89
14,0,bedroom,2.75,90
14,0,bedroom,2.75,91
14,0,bedroom,2.75,92
14,0,bedroom,2.75,93
14,0,bedroom,2.75,94
14,0,bedroom,6.0,95
14,0,bedroom,2.75,96
14,0,bedroom,2.75,97
14,0,bedroom,2.75,98
14,0,bedroom,2.75,99
14,0,bedroom,2.75,100
14,0,bedroom,2.75,101
14,0,bedroom,2.75,102
14,0,bedroom,2.75,103
14,0,bedroom,2.75,104
14,0,bedroom,2.75,105
14,0,bedroom,6.0,106
14,0,bedroom,6.0,107
14,0,bedroom,2.75,108
14,0,bedroom,2.75,109
14,0,bedroom,2.75,110
14,0,bedroom,2.75,111
14,0,bedroom,7.0,112
14,0,bedroom,9.0,113
14,0,bedroom,2.75,114
14,0,bedroom,6.0,115
14,0,bedroom,2.75,116
14,0,bedroom,6.0,117
14,0,bedroom,6.0,118
